,日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
170,2015/04/06,陽明,PM2.5,6,7,10,12,5,14,17,21,24,14,13,4,6,5,8,7,6,11,5,9,12,9,0,9
171,2015/04/07,陽明,PM2.5,9,0,0,0,0,0,0,0,0,1,0,0,14,13,0,0,0,0,0,1,0,0,0,0
172,2015/04/08,陽明,PM2.5,0,0,0,0,1,1,1,1,2,1,2,14,0,0,0,0,1,1,2,1,1,1,0,0
173,2015/04/09,陽明,PM2.5,1,1,1,1,4,1,2,2,4,8,7,11,4,4,1,2,2,0,1,1,1,0,1,0
174,2015/04/10,陽明,PM2.5,0,0,0,0,2,0,1,1,0,0,0,0,14,0,13,0,0,0,1,0,0,0,1,0
175,2015/04/11,陽明,PM2.5,0,1,1,2,2,2,2,2,1,2,2,2,5,4,1,0,4,4,2,4,5,5,2,1
176,2015/04/12,陽明,PM2.5,2,2,2,0,1,1,2,2,2,2,1,0,14,0,0,0,1,4,1,0,5,0,4,10
177,2015/04/13,陽明,PM2.5,21,22,11,22,21,23,36,26,25,20,24,25,31,30,33,29,21,19,18,34,24,32,25,20
178,2015/04/14,陽明,PM2.5,22,21,19,19,14,18,24,19,19,9,26,19,17,19,19,19,16,0,2,2,6,12,25,29
179,2015/04/15,陽明,PM2.5,9,11,14,17,13,18,21,17,13,13,14,14,14,30,20,17,29,32,23,24,28,11,34,34
180,2015/04/16,陽明,PM2.5,36,30,30,31,28,23,22,24,30,25,31,14,17,11,20,19,23,20,13,19,23,28,28,25
181,2015/04/17,陽明,PM2.5,19,12,6,10,28,19,18,16,19,26,28,29,19,33,24,8,29,23,20,20,31,29,23,24
182,2015/04/18,陽明,PM2.5,18,14,21,30,28,25,22,24,26,25,35,35,24,33,38,30,26,13,0,2,1,1,2,1
183,2015/04/19,陽明,PM2.5,4,4,4,6,9,8,9,6,6,9,13,24,16,9,7,14,10,12,21,8,9,9,4,10
184,2015/04/20,陽明,PM2.5,14,18,28,20,17,18,11,2,5,22,21,25,24,12,25,2,16,10,2,0,11,0,10,9
185,2015/04/21,陽明,PM2.5,0,2,1,1,4,2,5,11,4,7,13,6,6,9,7,0,5,1,4,4,6,4,5,2
186,2015/04/22,陽明,PM2.5,4,1,4,1,2,2,7,7,6,5,5,7,8,5,13,12,13,20,10,11,11,11,9,12
187,2015/04/23,陽明,PM2.5,7,7,8,10,10,19,19,17,16,17,13,16,12,4,5,1,4,2,8,8,12,11,10,9
188,2015/04/24,陽明,PM2.5,9,7,10,9,8,10,13,18,10,16,18,22,13,8,13,12,13,2,1,2,2,2,1,7
189,2015/04/25,陽明,PM2.5,9,4,11,12,12,6,5,7,11,7,1,11,11,7,18,10,12,14,17,13,6,12,12,17
190,2015/04/26,陽明,PM2.5,17,18,21,19,18,20,18,19,17,23,23,22,23,20,18,19,19,17,11,10,8,10,11,11
191,2015/04/27,陽明,PM2.5,8,13,18,12,9,22,16,31,29,29,32,22,20,18,22,31,20,13,28,22,32,31,20,20
192,2015/04/28,陽明,PM2.5,25,29,26,21,22,13,29,30,26,32,33,34,25,16,9,1,0,0,1,1,5,11,7,7
193,2015/04/29,陽明,PM2.5,6,11,12,11,9,14,13,13,19,21,20,14,14,21,17,11,21,17,18,22,6,16,17,25
194,2015/04/30,陽明,PM2.5,22,22,28,26,20,12,17,28,35,37,37,39,38,36,39,32,29,30,9,6,13,19,25,25
195,2015/05/01,陽明,PM2.5,18,24,28,28,22,24,54,49,39,39,39,43,51,54,49,24,25,23,12,22,21,17,11,26
196,2015/05/02,陽明,PM2.5,17,14,17,17,19,21,23,23,25,28,26,32,36,35,38,39,7,20,21,16,7,14,8,11
197,2015/05/03,陽明,PM2.5,14,21,19,16,16,13,13,11,8,14,13,16,10,16,8,0,4,6,7,7,7,7,2,1
